card_id,customer_id,card_type,credit_limit,issue_date
1,18409,Silver,75000,2024-10-18
2,5660,Gold,200000,2024-05-26
3,26569,Platinum,300000,2023-11-15
4,39662,Gold,200000,2024-09-16
5,24140,Gold,200000,2023-12-28
6,1683,Platinum,750000,2024-02-13
7,10709,Silver,100000,2024-02-19
8,42902,Gold,150000,2024-10-12
9,23897,Silver,50000,2023-03-10
10,42175,Silver,75000,2024-02-26
11,33700,Silver,75000,2023-09-18
12,48796,Silver,75000,2023-10-07
13,10316,Gold,100000,2024-10-07
14,19408,Gold,100000,2023-10-22
15,15272,Silver,75000,2023-08-16
16,27607,Silver,150000,2023-09-07
17,20876,Gold,100000,2023-12-29
18,540,Silver,150000,2023-09-03
19,20725,Platinum,300000,2024-08-02
20,32470,Platinum,300000,2024-01-26
21,41028,Gold,200000,2024-05-02
22,46380,Silver,150000,2024-03-01
23,14129,Gold,150000,2023-08-12
24,7325,Gold,200000,2024-09-05
25,23908,Platinum,500000,2024-06-24
26,22965,Gold,300000,2024-03-14
27,23041,Business,750000,2023-09-11
28,15179,Silver,150000,2023-08-17
29,2622,Platinum,300000,2023-06-08
30,2778,Silver,150000,2024-06-19
31,39141,Silver,150000,2023-10-11
32,258,Platinum,750000,2024-05-30
33,7080,Silver,100000,2024-05-01
34,5879,Silver,150000,2024-08-01
35,22328,Silver,150000,2024-06-27
36,18456,Gold,200000,2024-03-26
37,41779,Silver,75000,2024-01-20
38,33525,Platinum,300000,2023-06-18
39,15826,Silver,100000,2024-05-18
40,22275,Gold,300000,2024-05-16
41,3013,Gold,300000,2023-07-19
42,5689,Gold,200000,2024-01-11
43,38725,Gold,200000,2024-07-11
44,35920,Silver,50000,2024-03-14
45,33264,Silver,50000,2024-03-20
46,48803,Silver,75000,2024-05-11
47,14224,Gold,300000,2023-06-17
48,36633,Silver,100000,2023-11-19
49,19161,Gold,200000,2023-08-12
50,42501,Gold,200000,2023-10-21
51,34275,Business,500000,2024-08-12
52,19946,Gold,300000,2023-08-15
53,43778,Silver,50000,2024-10-07
54,41910,Gold,300000,2024-07-23
55,47593,Silver,75000,2023-12-11
56,40155,Gold,300000,2023-07-12
57,6735,Silver,50000,2024-02-05
58,15185,Gold,200000,2024-03-17
59,36022,Silver,100000,2024-05-08
60,24242,Silver,50000,2023-12-27
61,13762,Business,750000,2023-07-03
62,30216,Business,750000,2023-11-17
63,44457,Platinum,750000,2024-01-10
64,38024,Silver,150000,2024-10-02
65,43249,Silver,75000,2023-07-20
66,48829,Silver,50000,2023-06-23
67,32771,Gold,100000,2024-10-09
68,29995,Gold,100000,2023-08-01
69,46196,Gold,100000,2023-10-11
70,3857,Platinum,300000,2023-09-06
71,29479,Gold,100000,2023-11-02
72,34530,Gold,200000,2024-08-14
73,43490,Gold,150000,2023-04-28
74,8267,Business,500000,2024-02-23
75,19822,Silver,100000,2023-04-03
76,47905,Silver,150000,2023-08-09
77,2953,Platinum,750000,2024-01-18
78,48226,Silver,50000,2023-03-13
79,41104,Silver,150000,2024-01-31
80,42810,Silver,50000,2023-09-14
81,34950,Silver,100000,2024-07-20
82,3940,Gold,300000,2024-10-24
83,24394,Gold,150000,2024-08-25
84,49385,Gold,300000,2024-04-11
85,47056,Gold,100000,2023-03-01
86,18386,Platinum,500000,2024-03-24
87,36595,Platinum,750000,2023-05-24
88,36439,Gold,100000,2024-06-05
89,43544,Gold,300000,2023-06-04
90,21011,Silver,100000,2024-08-09
91,19443,Gold,200000,2024-06-11
92,25618,Silver,75000,2024-08-09
93,13678,Silver,50000,2023-12-29
94,10040,Gold,200000,2023-06-20
95,25497,Gold,150000,2024-08-18
96,45007,Silver,100000,2023-10-11
97,24774,Silver,150000,2023-04-12
98,34619,Gold,150000,2024-04-04
99,35112,Silver,75000,2024-10-08
100,28748,Platinum,750000,2024-07-27
101,36428,Gold,100000,2024-03-28
102,9626,Gold,200000,2024-09-11
103,2405,Silver,50000,2023-11-09
104,20513,Gold,100000,2023-10-08
105,12475,Silver,100000,2023-12-16
106,19859,Silver,100000,2024-07-16
107,43182,Gold,300000,2023-06-01
108,4106,Gold,100000,2023-05-03
109,18491,Gold,300000,2023-03-11
110,30321,Gold,150000,2024-11-18
111,39149,Gold,100000,2024-02-04
112,28906,Gold,100000,2024-03-21
113,834,Platinum,750000,2024-01-19
114,28439,Platinum,750000,2023-12-20
115,27378,Gold,300000,2024-04-25
116,22578,Gold,150000,2023-12-16
