merchant_id,merchant_name,category
1,Elite Cafe,Healthcare
2,Urban Hub,Travel
3,Prime Hub,Dining
4,Metro Store,Grocery
5,Elite Fuel,Fashion
6,Metro Store,Travel
7,Metro Hub,Dining
8,Urban Hub,Entertainment
9,Urban Hub,Utilities
10,Quick Hub,Entertainment
11,Prime Store,Entertainment
12,Metro Hub,Grocery
13,Urban Store,Travel
14,Prime Hub,Travel
15,Urban Fuel,Healthcare
16,Urban Cafe,Travel
17,Prime Fuel,Fashion
18,Prime Store,Fuel
19,Prime Cafe,Grocery
20,Quick Cafe,Grocery
21,Elite Hub,Travel
22,Metro Mart,Electronics
23,Prime Fuel,Fashion
24,Elite Fuel,Entertainment
25,Metro Cafe,Dining
26,Urban Cafe,Utilities
27,Quick Mart,Fashion
28,Metro Hub,Travel
29,Prime Store,Utilities
30,Prime Hub,E-commerce
31,Quick Mart,E-commerce
32,Quick Store,E-commerce
33,Prime Fuel,Fuel
34,Prime Fuel,Dining
35,Quick Fuel,Grocery
36,Metro Store,Entertainment
37,Quick Fuel,Fashion
38,Elite Fuel,Dining
39,Elite Hub,E-commerce
40,Urban Mart,Entertainment
41,Prime Fuel,E-commerce
42,Elite Hub,Dining
43,Quick Mart,Fuel
44,Quick Fuel,Dining
45,Urban Fuel,Grocery
46,Quick Hub,Utilities
47,Elite Fuel,Fuel
48,Urban Mart,Grocery
49,Elite Mart,Travel
50,Metro Mart,Electronics
51,Elite Mart,Fashion
52,Elite Cafe,Entertainment
53,Prime Store,Grocery
54,Elite Cafe,Grocery
55,Elite Mart,Fuel
56,Metro Mart,Fuel
57,Urban Mart,Grocery
58,Urban Fuel,E-commerce
59,Metro Hub,Travel
60,Prime Cafe,Dining
61,Prime Mart,E-commerce
62,Metro Hub,Entertainment
63,Prime Hub,Travel
64,Elite Mart,Fuel
65,Quick Mart,Dining
66,Quick Mart,Healthcare
67,Prime Mart,Electronics
68,Urban Mart,E-commerce
69,Prime Mart,Fuel
70,Elite Hub,E-commerce
71,Prime Mart,Fuel
72,Quick Fuel,Electronics
73,Urban Mart,Utilities
74,Urban Cafe,Grocery
75,Prime Store,Fashion
76,Elite Cafe,Entertainment
77,Quick Store,Healthcare
78,Metro Store,Electronics
79,Quick Mart,Fashion
80,Elite Store,Healthcare
81,Urban Hub,Dining
82,Quick Store,Utilities
