customer_id,total_spend,avg_ticket_size,txn_count,last_txn_date,first_txn_date,merchant_diversity,recency_days,frequency,monetary,active_days,spend_velocity,decline_rate,dispute_rate,late_night_ratio,avg_utilisation,income_band,city,age,R_score,F_score,M_score,RFM_score,rfm_segment
1,46226.520000000004,2432.9747368421054,19,2025-06-11 10:53:00,2024-01-05 23:26:00,9,18,19,46226.520000000004,522,88.56,0.0,0.0,0.2632,0.09405,Premium,Hyderabad,60,3,3,4,10,Loyal
2,80581.13,1873.9797674418605,43,2025-06-27 01:56:00,2024-05-07 22:16:00,10,2,43,80581.13,415,194.17,0.0227,0.0,0.2727,0.10711999999999999,Low,Chandigarh,69,5,5,5,15,Champions
3,28742.54,2053.0385714285717,14,2025-06-27 19:41:00,2024-09-18 01:21:00,7,2,14,28742.54,282,101.92,0.0,0.0,0.3571,0.1437,Premium,Hyderabad,51,5,3,3,11,Loyal
5,9024.25,1289.1785714285713,7,2025-03-17 13:35:00,2024-05-22 11:52:00,5,104,7,9024.25,299,30.18,0.2222,0.0,0.3333,0.1805,High,Delhi,18,1,1,1,3,Lost
6,28072.4,1871.4933333333333,15,2025-06-25 19:53:00,2024-03-09 18:02:00,9,4,15,28072.4,473,59.35,0.0,0.0,0.2667,0.12129999999999999,Low,Chandigarh,53,5,3,3,11,Loyal
7,14542.199999999999,1615.8,9,2025-05-02 21:36:00,2023-09-08 06:59:00,6,58,9,14542.199999999999,602,24.16,0.0,0.0,0.5556,0.0969,Medium,Mumbai,70,1,1,1,3,Lost
8,64657.4,1616.435,40,2025-06-26 06:20:00,2024-06-13 03:22:00,10,3,40,64657.4,378,171.05,0.0,0.0,0.25,0.188925,Medium,Pune,26,5,5,5,15,Champions
9,65063.11,2323.6825,28,2025-06-29 02:55:00,2024-08-03 14:02:00,8,0,28,65063.11,329,197.76,0.0938,0.0312,0.3438,0.21685000000000001,Medium,Chennai,32,5,5,5,15,Champions
11,27693.75,1457.5657894736842,19,2025-06-01 03:27:00,2023-09-13 12:02:00,9,28,19,27693.75,626,44.24,0.0,0.0,0.2632,0.1846,Premium,Chandigarh,48,3,3,3,9,At Risk
13,52880.75,2115.23,25,2025-06-10 17:23:00,2024-09-10 19:30:00,8,19,25,52880.75,272,194.41,0.0385,0.0,0.2692,0.10975,High,Pune,26,3,4,4,11,Loyal
14,118284.26999999999,2319.299411764706,51,2025-06-23 01:57:00,2023-08-22 07:30:00,10,6,51,118284.26999999999,670,176.54,0.0727,0.0,0.3273,0.20698,Low,Mumbai,46,5,5,5,15,Champions
15,23156.43,1654.0307142857143,14,2025-06-21 21:38:00,2023-10-02 21:46:00,9,8,14,23156.43,627,36.93,0.125,0.0,0.25,0.1158,High,Hyderabad,47,4,3,2,9,At Risk
16,43788.35,1509.943103448276,29,2025-06-15 20:44:00,2023-08-28 14:39:00,9,14,29,43788.35,657,66.65,0.0,0.0,0.2069,0.1765,High,Bangalore,28,4,5,4,13,Champions
