customer_id,income_band,city,age,total_spend,avg_ticket_size,txn_count,decline_rate,dispute_rate,late_night_ratio,avg_utilisation,spend_velocity,merchant_diversity,RFM_score,rfm_segment,rule_risk_score,anomaly_flag,final_risk_score,risk_tier
1,Premium,Hyderabad,60,46226.52,2432.9747368421054,19,0.0,0.0,0.2632,0.09405,88.56,9,10,Loyal,10,0,7.29,Low Risk
2,Low,Chandigarh,69,80581.13,1873.9797674418603,43,0.0227,0.0,0.2727,0.1071199999999999,194.17,10,15,Champions,10,0,12.11,Low Risk
3,Premium,Hyderabad,51,28742.54,2053.038571428572,14,0.0,0.0,0.3571,0.1437,101.92,7,11,Loyal,20,0,14.42,Low Risk
5,High,Delhi,18,9024.25,1289.178571428571,7,0.2222,0.0,0.3333,0.1805,30.18,5,3,Lost,60,0,49.47,Medium Risk
6,Low,Chandigarh,53,28072.4,1871.493333333333,15,0.0,0.0,0.2667,0.1212999999999999,59.35,9,11,Loyal,10,0,6.85,Low Risk
7,Medium,Mumbai,70,14542.2,1615.8,9,0.0,0.0,0.5556,0.0969,24.16,6,3,Lost,30,0,26.83,Low Risk
8,Medium,Pune,26,64657.4,1616.435,40,0.0,0.0,0.25,0.188925,171.05,10,15,Champions,10,0,11.76,Low Risk
9,Medium,Chennai,32,65063.11,2323.6825,28,0.0938,0.0312,0.3438,0.21685,197.76,8,15,Champions,20,0,21.75,Low Risk
11,Premium,Chandigarh,48,27693.75,1457.5657894736842,19,0.0,0.0,0.2632,0.1846,44.24,9,9,At Risk,10,0,9.14,Low Risk
13,High,Pune,26,52880.75,2115.23,25,0.0385,0.0,0.2692,0.10975,194.41,8,11,Loyal,10,0,11.73,Low Risk
14,Low,Mumbai,46,118284.27,2319.299411764706,51,0.0727,0.0,0.3273,0.20698,176.54,10,15,Champions,20,0,17.62,Low Risk
15,High,Hyderabad,47,23156.43,1654.0307142857143,14,0.125,0.0,0.25,0.1158,36.93,9,9,At Risk,25,0,19.45,Low Risk
16,High,Bangalore,28,43788.35,1509.943103448276,29,0.0,0.0,0.2069,0.1765,66.65,9,13,Champions,10,0,8.25,Low Risk
17,Low,Chennai,53,102093.43,3002.7479411764702,34,0.0,0.0556,0.1944,0.3403333333333333,214.93,10,15,Champions,22,0,30.54,Low Risk
19,Low,Kolkata,23,81057.06,2133.080526315789,38,0.0256,0.0,0.1282,0.0500666666666666,178.15,9,15,Champions,0,0,7.43,Low Risk
23,High,Chandigarh,23,23360.85,2123.7136363636364,11,0.0,0.0,0.3636,0.0467,68.51,8,7,At Risk,25,0,16.74,Low Risk
24,High,Pune,72,20637.27,2293.03,9,0.0,0.0,0.1111,0.4127,58.46,7,5,Lost,10,0,13.61,Low Risk
25,High,Pune,45,26123.86,1632.74125,16,0.0,0.0,0.1875,0.1941,95.69,9,7,At Risk,15,0,11.43,Low Risk
26,Medium,Pune,24,12708.65,2541.73,5,0.1667,0.0,0.3333,0.1271,23.36,4,3,Lost,45,0,38.88,Low Risk
27,Premium,Chennai,43,23395.01,2339.501,10,0.0,0.0,0.3,0.156,40.55,7,6,Lost,15,0,11.42,Low Risk
28,Premium,Delhi,43,92401.36,2497.334054054054,37,0.0732,0.0244,0.2927,0.1446599999999999,140.43,10,15,Champions,10,0,12.49,Low Risk
29,Medium,Kolkata,40,53021.19,1559.4467647058823,34,0.0,0.0286,0.1429,0.1675333333333333,91.42,10,12,Loyal,0,0,7.89,Low Risk
30,Premium,Chandigarh,51,102990.36,1907.2288888888888,54,0.0357,0.0,0.2143,0.20965,177.26,10,14,Champions,10,0,10.28,Low Risk
31,Premium,Hyderabad,32,54075.84,2079.84,26,0.0357,0.0357,0.25,0.2894666666666666,67.01,10,12,Loyal,10,0,12.62,Low Risk
32,High,Delhi,75,62193.96,1884.6654545454544,33,0.0,0.0,0.2727,0.1920666666666667,105.24,10,15,Champions,10,0,7.89,Low Risk
33,High,Kolkata,34,39145.04,1957.252,20,0.0476,0.0,0.1905,0.0783,86.41,9,13,Champions,10,0,7.09,Low Risk
35,Low,Chennai,65,23193.49,1364.3229411764703,17,0.15,0.0,0.3,0.1009,41.71,9,7,At Risk,30,0,24.71,Low Risk
37,Low,Bangalore,29,11906.15,992.1791666666668,12,0.0769,0.0,0.4615,0.0397,26.17,8,5,Lost,30,0,29.12,Low Risk
